,EDAD,AVG_DH,MINUTES_DH,EXPERIENCIA,GENERO,TRACK_DH,RESIDENCIA,NV_ESTUDIO,ESTUDIO_PREV,DIAS_EMP
6804,39.0,3.4,,25.2,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,90.0
2606,34.0,3.1,4156.4,15.5,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
7377,43.0,4.2,4852.4,29.3,MASCULINO,MARKETING,ARGENTINA,POST_GRADUATE,COMMERCIAL,90.0
8215,35.0,3.9,4611.1,,MASCULINO,DATA,,UNIVERSITARY,COMMERCIAL,86.0
7341,27.0,3.1,,5.1,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,,86.0
3439,31.0,,5564.6,11.7,MASCULINO,PROGRAMACION,BRAZIL,POST_GRADUATE,ENGINEERING,84.0
6376,28.0,3.6,4577.3,6.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,85.0
1733,31.0,3.4,4589.9,12.5,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,ENGINEERING,86.0
8491,39.0,3.1,4055.1,,MASCULINO,,ARGENTINA,TERTIARY,,96.0
1345,,3.1,,,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,,99.0
6715,34.0,4.0,4672.3,17.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,87.0
4075,28.0,4.0,,6.2,MASCULINO,,ARGENTINA,,COMMERCIAL,85.0
19,29.0,3.5,4531.0,8.5,FEMENINO,DATA,,UNIVERSITARY,DEVELOPMENT,96.0
6934,27.0,2.7,2923.4,5.9,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
2826,,4.0,4694.0,28.4,MASCULINO,EJECUTIVO,BRAZIL,UNIVERSITARY,COMMERCIAL,92.0
5408,37.0,,4612.6,21.7,MASCULINO,,,UNIVERSITARY,ENGINEERING,88.0
1509,,3.2,4354.9,19.5,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,88.0
5812,37.0,3.2,4252.3,20.9,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,100.0
3833,32.0,4.3,5210.9,14.0,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,COMMERCIAL,90.0
3524,,3.3,4502.6,15.1,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,85.0
3778,34.0,3.9,4601.5,15.7,MASCULINO,PROGRAMACION,ARGENTINA,,ENGINEERING,87.0
8304,30.0,4.2,4879.6,,MASCULINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,85.0
8026,36.0,,4221.1,20.3,FEMENINO,PROGRAMACION,,UNIVERSITARY,COMMERCIAL,99.0
7439,34.0,3.5,4631.5,16.3,FEMENINO,,ARGENTINA,,DEVELOPMENT,96.0
7082,33.0,3.7,4722.6,13.9,FEMENINO,DATA,,UNIVERSITARY,ENGINEERING,96.0
4733,42.0,,4297.9,27.5,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,90.0
1341,,3.8,4700.2,,MASCULINO,DATA,ARGENTINA,,COMMERCIAL,84.0
1530,35.0,3.7,4699.8,17.4,,PROGRAMACION,BRAZIL,UNIVERSITARY,DEVELOPMENT,89.0
5826,31.0,3.7,,11.7,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,COMMERCIAL,90.0
8525,28.0,3.8,,6.6,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,92.0
53,30.0,3.7,4675.6,11.4,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,81.0
1399,41.0,3.5,4636.8,,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,COMMERCIAL,91.0
7168,42.0,2.9,3477.0,,MASCULINO,,BRAZIL,UNIVERSITARY,ENGINEERING,93.0
3001,33.0,2.9,3649.4,15.0,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
4203,40.0,3.8,4753.9,23.6,,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,104.0
5701,31.0,4.0,4652.2,11.0,MASCULINO,DATA,MEXICO,,ENGINEERING,85.0
8424,,3.5,4544.7,,MASCULINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,87.0
240,40.0,3.7,4701.1,24.7,,PROGRAMACION,ARGENTINA,POST_GRADUATE,ENGINEERING,87.0
8578,,2.8,3227.0,22.7,MASCULINO,DATA,BRAZIL,POST_GRADUATE,ENGINEERING,89.0
280,37.0,3.3,,,FEMENINO,PROGRAMACION,,UNIVERSITARY,COMMERCIAL,101.0
727,36.0,,4576.4,19.0,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,85.0
673,34.0,3.2,4265.0,17.4,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,DEVELOPMENT,87.0
612,,3.0,3955.9,21.7,MASCULINO,DATA,,,ENGINEERING,88.0
1714,,3.6,4713.8,,,DATA,MEXICO,UNIVERSITARY,COMMERCIAL,85.0
7996,31.0,3.3,,11.5,FEMENINO,DATA,ARGENTINA,,ENGINEERING,95.0
4190,34.0,4.4,5380.1,15.6,,PROGRAMACION,BRAZIL,UNIVERSITARY,,86.0
119,32.0,,4174.1,,FEMENINO,DATA,,UNIVERSITARY,DEVELOPMENT,95.0
5875,28.0,3.5,4508.3,6.7,MASCULINO,DATA,ARGENTINA,,ENGINEERING,83.0
6102,37.0,4.0,4615.0,,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
3766,36.0,3.4,4457.2,18.4,FEMENINO,DATA,ARGENTINA,POST_GRADUATE,,96.0
8799,33.0,3.8,4744.6,14.4,MASCULINO,,,UNIVERSITARY,COMMERCIAL,87.0
6753,37.0,4.5,5642.1,,MASCULINO,,ARGENTINA,,,89.0
1849,25.0,3.5,4579.1,,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,87.0
2002,35.0,3.1,,,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,98.0
6334,41.0,2.8,3266.7,25.7,MASCULINO,DATA,ARGENTINA,TERTIARY,,94.0
797,32.0,,4193.9,,MASCULINO,PROGRAMACION,,UNIVERSITARY,ENGINEERING,86.0
4891,36.0,4.0,4817.5,20.3,MASCULINO,,ARGENTINA,,ENGINEERING,90.0
7844,33.0,3.2,4248.4,13.6,MASCULINO,DATA,,UNIVERSITARY,ENGINEERING,86.0
2366,43.0,4.0,4816.6,27.6,MASCULINO,DATA,BRAZIL,UNIVERSITARY,DEVELOPMENT,92.0
5615,37.0,3.2,4253.7,20.2,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,DEVELOPMENT,101.0
6995,33.0,3.3,4356.4,14.4,FEMENINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,98.0
740,42.0,,,27.5,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,92.0
5785,32.0,3.3,4498.0,11.7,MASCULINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,87.0
5561,42.0,3.7,4572.7,27.3,MASCULINO,PROGRAMACION,,UNIVERSITARY,ENGINEERING,92.0
7479,24.0,4.0,4655.7,2.1,MASCULINO,PROGRAMACION,,UNIVERSITARY,DEVELOPMENT,85.0
4387,33.0,3.5,,14.3,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,94.0
7154,37.0,3.0,3775.7,19.6,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,91.0
2237,33.0,,4343.6,14.6,FEMENINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,96.0
7549,38.0,,,20.9,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,COMMERCIAL,88.0
1888,46.0,3.4,4496.3,30.6,FEMENINO,,ARGENTINA,UNIVERSITARY,COMMERCIAL,100.0
2244,41.0,3.5,4639.6,26.3,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,MARKETING,93.0
761,,,,12.1,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,87.0
204,35.0,4.0,4798.2,16.1,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,DEVELOPMENT,88.0
777,25.0,3.0,,3.2,FEMENINO,DATA,,POST_GRADUATE,COMMERCIAL,94.0
7700,26.0,3.7,,3.4,MASCULINO,PROGRAMACION,MEXICO,POST_GRADUATE,,84.0
1050,36.0,3.1,4103.0,,,EJECUTIVO,,,DEVELOPMENT,99.0
5599,,,4568.6,20.1,MASCULINO,PROGRAMACION,BRAZIL,,COMMERCIAL,90.0
7489,,3.6,4617.8,23.4,MASCULINO,PROGRAMACION,BRAZIL,UNIVERSITARY,ENGINEERING,89.0
4609,38.0,3.6,4708.6,22.7,MASCULINO,PROGRAMACION,BRAZIL,,COMMERCIAL,93.0
7155,30.0,3.7,4709.1,8.4,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,84.0
7004,43.0,3.3,,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,93.0
8798,30.0,,4358.0,10.0,,DATA,ARGENTINA,,COMMERCIAL,96.0
5480,30.0,3.1,,9.5,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,84.0
6167,32.0,3.8,4706.9,,,,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
1361,28.0,3.4,4464.6,5.8,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,83.0
1187,35.0,4.1,,19.4,,PROGRAMACION,ARGENTINA,POST_GRADUATE,COMMERCIAL,87.0
6696,33.0,3.5,4523.1,16.3,MASCULINO,DATA,BRAZIL,,ENGINEERING,84.0
4947,42.0,3.7,4709.7,27.9,MASCULINO,EJECUTIVO,ARGENTINA,,ENGINEERING,90.0
8903,38.0,3.4,,24.3,,EJECUTIVO,,,COMMERCIAL,101.0
3777,37.0,,4528.1,21.2,,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
2396,,3.4,4571.6,11.5,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,86.0
5364,27.0,3.5,4519.5,4.3,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,DEVELOPMENT,86.0
4346,35.0,2.9,,17.7,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,COMMERCIAL,86.0
5427,31.0,3.2,4270.1,12.5,MASCULINO,MARKETING,ARGENTINA,POST_GRADUATE,DEVELOPMENT,86.0
6204,38.0,3.9,4747.8,23.7,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,91.0
1246,39.0,3.6,,24.5,,DATA,MEXICO,UNIVERSITARY,COMMERCIAL,90.0
2204,30.0,3.3,4392.7,9.4,FEMENINO,PROGRAMACION,,POST_GRADUATE,,96.0
8229,32.0,4.0,,,FEMENINO,,,UNIVERSITARY,DEVELOPMENT,97.0
6516,28.0,3.5,,8.5,MASCULINO,MARKETING,ARGENTINA,,DEVELOPMENT,86.0
1145,,4.2,4921.5,15.6,MASCULINO,PROGRAMACION,ARGENTINA,,COMMERCIAL,86.0
2216,,3.2,4408.3,28.0,MASCULINO,MARKETING,ARGENTINA,,BUSINESS,97.0
6437,37.0,3.6,4681.1,,MASCULINO,EJECUTIVO,ARGENTINA,TERTIARY,ENGINEERING,91.0
7796,,3.3,4497.7,22.3,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,88.0
6138,26.0,3.3,4508.0,4.6,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,ENGINEERING,86.0
6578,37.0,3.9,4666.1,21.9,MASCULINO,PROGRAMACION,,UNIVERSITARY,,88.0
1236,35.0,3.8,,18.0,MASCULINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,90.0
4977,28.0,3.2,4323.5,7.2,MASCULINO,EJECUTIVO,BRAZIL,UNIVERSITARY,ENGINEERING,83.0
3546,30.0,4.0,4673.0,8.9,FEMENINO,DATA,ARGENTINA,,ENGINEERING,92.0
1982,48.0,3.2,4206.7,29.9,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,105.0
1577,36.0,3.9,4601.4,19.8,MASCULINO,MARKETING,BRAZIL,UNIVERSITARY,COMMERCIAL,90.0
4426,33.0,3.6,4620.5,14.5,FEMENINO,DATA,,,COMMERCIAL,95.0
7558,45.0,4.5,5716.4,29.6,MASCULINO,,,,ENGINEERING,91.0
7076,29.0,3.4,4603.1,8.9,FEMENINO,,ARGENTINA,UNIVERSITARY,DEVELOPMENT,94.0
4435,29.0,3.0,3883.4,8.1,FEMENINO,DATA,,UNIVERSITARY,DEVELOPMENT,97.0
206,40.0,3.3,4488.5,26.0,MASCULINO,,,TERTIARY,DEVELOPMENT,93.0
7224,,3.2,4381.8,11.8,FEMENINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,97.0
233,30.0,3.8,4571.4,,MASCULINO,DATA,,,COMMERCIAL,85.0
1973,41.0,3.1,4077.8,26.4,MASCULINO,PROGRAMACION,BRAZIL,,COMMERCIAL,93.0
8403,33.0,4.0,4722.1,15.0,,DATA,,UNIVERSITARY,ENGINEERING,85.0
7858,,3.9,,,MASCULINO,,ARGENTINA,UNIVERSITARY,MARKETING,90.0
2837,34.0,3.2,4397.7,,FEMENINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,97.0
1262,37.0,,4327.1,21.0,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,ENGINEERING,87.0
3005,,3.6,4576.1,4.4,,DATA,ARGENTINA,UNIVERSITARY,,94.0
1880,,3.3,4530.7,12.3,,DATA,BRAZIL,UNIVERSITARY,,86.0
1756,32.0,3.1,4141.6,12.3,MASCULINO,MARKETING,MEXICO,,,86.0
3593,30.0,3.3,4500.8,,FEMENINO,,ARGENTINA,TERTIARY,COMMERCIAL,105.0
4004,43.0,3.5,4649.7,27.1,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,ENGINEERING,92.0
7950,36.0,3.4,4645.4,19.5,MASCULINO,MARKETING,ARGENTINA,UNIVERSITARY,COMMERCIAL,86.0
2603,34.0,,3815.0,16.4,FEMENINO,,MEXICO,UNIVERSITARY,COMMERCIAL,97.0
8270,30.0,3.4,4557.4,,MASCULINO,DATA,ARGENTINA,TERTIARY,ENGINEERING,86.0
676,28.0,3.3,4432.9,7.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,83.0
1283,,,4140.5,22.5,MASCULINO,PROGRAMACION,,UNIVERSITARY,ENGINEERING,88.0
5340,25.0,3.2,4218.5,2.6,,DATA,ARGENTINA,,DEVELOPMENT,86.0
1497,37.0,3.9,4629.9,20.8,FEMENINO,DATA,ARGENTINA,TERTIARY,COMMERCIAL,109.0
5871,31.0,4.2,5019.7,12.3,,DATA,ARGENTINA,TERTIARY,COMMERCIAL,98.0
1641,,4.0,,6.8,,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,85.0
1669,34.0,3.2,4293.9,16.7,MASCULINO,DATA,BRAZIL,UNIVERSITARY,COMMERCIAL,86.0
6371,,4.1,4819.7,19.1,MASCULINO,PROGRAMACION,ARGENTINA,,COMMERCIAL,92.0
6082,26.0,3.0,,3.6,MASCULINO,PROGRAMACION,BRAZIL,POST_GRADUATE,ENGINEERING,82.0
5458,,2.6,2398.1,14.5,MASCULINO,DATA,,TERTIARY,ENGINEERING,91.0
1861,32.0,3.3,,14.2,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,,86.0
4984,33.0,,4578.4,16.3,MASCULINO,PROGRAMACION,ARGENTINA,POST_GRADUATE,ENGINEERING,83.0
2545,,3.6,,15.0,MASCULINO,PROGRAMACION,BRAZIL,TERTIARY,ENGINEERING,88.0
6686,31.0,3.3,4447.6,,,DATA,,UNIVERSITARY,COMMERCIAL,95.0
121,,3.8,4711.7,,MASCULINO,,ARGENTINA,TERTIARY,BUSINESS,91.0
8932,,3.7,4638.7,29.6,FEMENINO,,,POST_GRADUATE,ENGINEERING,101.0
2553,,3.6,4695.1,29.5,,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,100.0
1655,,3.8,4679.2,19.7,MASCULINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,ENGINEERING,86.0
5197,34.0,3.5,4698.1,16.5,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,DEVELOPMENT,85.0
3155,38.0,2.9,3571.0,21.6,MASCULINO,MARKETING,ARGENTINA,TERTIARY,DEVELOPMENT,94.0
4989,44.0,3.6,4575.2,29.0,,DATA,MEXICO,TERTIARY,ENGINEERING,103.0
2389,31.0,3.0,3951.0,10.5,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,COMMERCIAL,87.0
4237,34.0,3.7,4584.4,15.8,,DATA,MEXICO,TERTIARY,,88.0
5365,,3.5,4643.8,,MASCULINO,EJECUTIVO,BRAZIL,TERTIARY,ENGINEERING,90.0
174,33.0,,4534.5,,FEMENINO,DATA,,UNIVERSITARY,ENGINEERING,94.0
8390,34.0,3.3,4542.2,18.2,FEMENINO,PROGRAMACION,ARGENTINA,,ENGINEERING,94.0
6265,,2.8,3317.9,9.8,MASCULINO,DATA,MEXICO,UNIVERSITARY,DEVELOPMENT,87.0
7994,,2.7,2801.2,14.1,MASCULINO,DATA,BRAZIL,UNIVERSITARY,ENGINEERING,86.0
178,,3.1,4168.2,7.3,MASCULINO,,,,ENGINEERING,81.0
3918,27.0,4.3,5161.8,6.8,MASCULINO,,BRAZIL,,,87.0
702,41.0,3.8,,,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,91.0
871,35.0,,4622.5,18.6,MASCULINO,PROGRAMACION,MEXICO,UNIVERSITARY,ENGINEERING,88.0
6490,24.0,3.4,4468.1,1.4,FEMENINO,PROGRAMACION,BRAZIL,,COMMERCIAL,95.0
605,38.0,4.2,4996.3,21.5,MASCULINO,,ARGENTINA,POST_GRADUATE,COMMERCIAL,91.0
3663,40.0,,3673.4,25.5,MASCULINO,DATA,BRAZIL,POST_GRADUATE,ENGINEERING,91.0
3332,28.0,3.5,,7.3,MASCULINO,,ARGENTINA,UNIVERSITARY,ENGINEERING,82.0
2613,37.0,,4892.5,20.1,,EJECUTIVO,,,ENGINEERING,97.0
6537,,3.6,,14.6,MASCULINO,PROGRAMACION,ARGENTINA,TERTIARY,ENGINEERING,87.0
3481,38.0,3.4,4610.3,21.9,FEMENINO,PROGRAMACION,ARGENTINA,UNIVERSITARY,DEVELOPMENT,100.0
8184,44.0,2.8,3230.9,,MASCULINO,DATA,ARGENTINA,UNIVERSITARY,ENGINEERING,94.0
2041,,3.4,4609.2,8.7,MASCULINO,DATA,ARGENTINA,POST_GRADUATE,ENGINEERING,82.0
3321,,3.0,3770.0,24.3,MASCULINO,,BRAZIL,UNIVERSITARY,COMMERCIAL,94.0
5236,35.0,,4629.2,,,,ARGENTINA,POST_GRADUATE,ENGINEERING,93.0
8135,28.0,,4340.1,8.3,FEMENINO,MARKETING,,UNIVERSITARY,,94.0
